date,team_1,team_1_score,team_2,team_2_score,stadium_attendance,stadium
Mon Apr 19 2021,Memphis Grizzlies,137,Denver Nuggets,139,Box Score,Ball Arena
Mon Apr 19 2021,Utah Jazz,111,Los Angeles Lakers,97,Box Score,STAPLES Center
Tue Apr 20 2021,Orlando Magic,96,Atlanta Hawks,112,Box Score,State Farm Arena
Tue Apr 20 2021,Brooklyn Nets,134,New Orleans Pelicans,129,Box Score,Smoothie King Center
Tue Apr 20 2021,Charlotte Hornets,97,New York Knicks,109,Box Score,Madison Square Garden (IV)
Tue Apr 20 2021,Los Angeles Clippers,113,Portland Trail Blazers,112,Box Score,Moda Center
Tue Apr 20 2021,Minnesota Timberwolves,134,Sacramento Kings,120,Box Score,Golden 1 Center
Wed Apr 21 2021,Chicago Bulls,105,Cleveland Cavaliers,121,Box Score,Rocket Mortgage Fieldhouse
Wed Apr 21 2021,Oklahoma City Thunder,116,Indiana Pacers,122,Box Score,Bankers Life Fieldhouse
Wed Apr 21 2021,Phoenix Suns,116,Philadelphia 76ers,113,Box Score,Wells Fargo Center
Wed Apr 21 2021,Brooklyn Nets,103,Toronto Raptors,114,Box Score,Amalie Arena
Wed Apr 21 2021,Golden State Warriors,114,Washington Wizards,118,Box Score,Capital One Arena
Wed Apr 21 2021,Utah Jazz,112,Houston Rockets,89,Box Score,Toyota Center
Wed Apr 21 2021,Atlanta Hawks,127,New York Knicks,137,Box Score,Madison Square Garden (IV)
Wed Apr 21 2021,Detroit Pistons,117,Dallas Mavericks,127,Box Score,American Airlines Center
Wed Apr 21 2021,Miami Heat,107,San Antonio Spurs,87,Box Score,AT&T Center
Wed Apr 21 2021,Memphis Grizzlies,105,Los Angeles Clippers,117,Box Score,STAPLES Center
Wed Apr 21 2021,Denver Nuggets,106,Portland Trail Blazers,105,Box Score,Moda Center
Wed Apr 21 2021,Minnesota Timberwolves,125,Sacramento Kings,128,Box Score,Golden 1 Center
Thu Apr 22 2021,Phoenix Suns,86,Boston Celtics,99,Box Score,TD Garden
Thu Apr 22 2021,Philadelphia 76ers,117,Milwaukee Bucks,124,Box Score,Fiserv Forum
Thu Apr 22 2021,New Orleans Pelicans,135,Orlando Magic,100,Box Score,Amway Center
Thu Apr 22 2021,Detroit Pistons,91,San Antonio Spurs,106,Box Score,AT&T Center
Thu Apr 22 2021,Charlotte Hornets,91,Chicago Bulls,108,Box Score,United Center
Thu Apr 22 2021,Los Angeles Lakers,110,Dallas Mavericks,115,Box Score,American Airlines Center
Fri Apr 23 2021,Miami Heat,103,Atlanta Hawks,118,Box Score,State Farm Arena
Fri Apr 23 2021,Boston Celtics,104,Brooklyn Nets,109,Box Score,Barclays Center
Fri Apr 23 2021,Cleveland Cavaliers,102,Charlotte Hornets,108,Box Score,Spectrum Center
Fri Apr 23 2021,Los Angeles Clippers,109,Houston Rockets,104,Box Score,Toyota Center
Fri Apr 23 2021,Washington Wizards,129,Oklahoma City Thunder,109,Box Score,Chesapeake Energy Arena
Fri Apr 23 2021,Denver Nuggets,97,Golden State Warriors,118,Box Score,Chase Center
Fri Apr 23 2021,Memphis Grizzlies,130,Portland Trail Blazers,128,Box Score,Moda Center
Sat Apr 24 2021,Toronto Raptors,103,New York Knicks,120,Box Score,Madison Square Garden (IV)
Sat Apr 24 2021,Philadelphia 76ers,94,Milwaukee Bucks,132,Box Score,Fiserv Forum
Sat Apr 24 2021,Detroit Pistons,109,Indiana Pacers,115,Box Score,Bankers Life Fieldhouse
Sat Apr 24 2021,Chicago Bulls,101,Miami Heat,106,Box Score,AmericanAirlines Arena
Sat Apr 24 2021,San Antonio Spurs,110,New Orleans Pelicans,108,Box Score,Smoothie King Center
Sat Apr 24 2021,Los Angeles Lakers,93,Dallas Mavericks,108,Box Score,American Airlines Center
Sat Apr 24 2021,Minnesota Timberwolves,101,Utah Jazz,96,Box Score,Vivint Smart Home Arena
Sat Apr 24 2021,Houston Rockets,116,Denver Nuggets,129,Box Score,Ball Arena
Sun Apr 25 2021,Boston Celtics,104,Charlotte Hornets,125,Box Score,Spectrum Center
Sun Apr 25 2021,Phoenix Suns,119,Brooklyn Nets,128,Box Score,Barclays Center
Sun Apr 25 2021,Memphis Grizzlies,120,Portland Trail Blazers,113,Box Score,Moda Center
Sun Apr 25 2021,Cleveland Cavaliers,110,Washington Wizards,119,Box Score,Capital One Arena
Sun Apr 25 2021,Milwaukee Bucks,104,Atlanta Hawks,111,Box Score,State Farm Arena
Sun Apr 25 2021,Indiana Pacers,131,Orlando Magic,112,Box Score,Amway Center
Sun Apr 25 2021,Sacramento Kings,113,Golden State Warriors,117,Box Score,Chase Center
Mon Apr 26 2021,Atlanta Hawks,86,Detroit Pistons,100,Box Score,Little Caesars Arena
Mon Apr 26 2021,Los Angeles Lakers,114,Orlando Magic,103,Box Score,Amway Center
Mon Apr 26 2021,Oklahoma City Thunder,90,Philadelphia 76ers,121,Box Score,Wells Fargo Center
Mon Apr 26 2021,San Antonio Spurs,146,Washington Wizards,143,Box Score,Capital One Arena
Mon Apr 26 2021,Phoenix Suns,118,New York Knicks,110,Box Score,Madison Square Garden (IV)
Mon Apr 26 2021,Cleveland Cavaliers,96,Toronto Raptors,112,Box Score,Amalie Arena
Mon Apr 26 2021,Chicago Bulls,110,Miami Heat,102,Box Score,AmericanAirlines Arena
Mon Apr 26 2021,Utah Jazz,104,Minnesota Timberwolves,105,Box Score,Target Center
Mon Apr 26 2021,Los Angeles Clippers,103,New Orleans Pelicans,120,Box Score,Smoothie King Center
Mon Apr 26 2021,Memphis Grizzlies,96,Denver Nuggets,120,Box Score,Ball Arena
Mon Apr 26 2021,Dallas Mavericks,106,Sacramento Kings,113,Box Score,Golden 1 Center
Tue Apr 27 2021,Oklahoma City Thunder,119,Boston Celtics,115,Box Score,TD Garden
Tue Apr 27 2021,Milwaukee Bucks,114,Charlotte Hornets,104,Box Score,Spectrum Center
Tue Apr 27 2021,Portland Trail Blazers,133,Indiana Pacers,112,Box Score,Bankers Life Fieldhouse
Tue Apr 27 2021,Brooklyn Nets,116,Toronto Raptors,103,Box Score,Amalie Arena
Tue Apr 27 2021,Minnesota Timberwolves,114,Houston Rockets,107,Box Score,Toyota Center
Tue Apr 27 2021,Dallas Mavericks,133,Golden State Warriors,103,Box Score,Chase Center
Wed Apr 28 2021,Orlando Magic,109,Cleveland Cavaliers,104,Box Score,Rocket Mortgage Fieldhouse
Wed Apr 28 2021,Atlanta Hawks,83,Philadelphia 76ers,127,Box Score,Wells Fargo Center
Wed Apr 28 2021,Charlotte Hornets,111,Boston Celtics,120,Box Score,TD Garden
Wed Apr 28 2021,Chicago Bulls,94,New York Knicks,113,Box Score,Madison Square Garden (IV)
Wed Apr 28 2021,Los Angeles Lakers,107,Washington Wizards,116,Box Score,Capital One Arena
Wed Apr 28 2021,San Antonio Spurs,111,Miami Heat,116,Box Score,AmericanAirlines Arena
Wed Apr 28 2021,New Orleans Pelicans,112,Denver Nuggets,114,Box Score,Ball Arena
Wed Apr 28 2021,Portland Trail Blazers,130,Memphis Grizzlies,109,Box Score,FedEx Forum
Wed Apr 28 2021,Los Angeles Clippers,101,Phoenix Suns,109,Box Score,Phoenix Suns Arena
Wed Apr 28 2021,Utah Jazz,154,Sacramento Kings,105,Box Score,Golden 1 Center
Thu Apr 29 2021,Dallas Mavericks,115,Detroit Pistons,105,Box Score,Little Caesars Arena
Thu Apr 29 2021,Brooklyn Nets,130,Indiana Pacers,113,Box Score,Bankers Life Fieldhouse
Thu Apr 29 2021,Milwaukee Bucks,136,Houston Rockets,143,Box Score,Toyota Center
Thu Apr 29 2021,Golden State Warriors,114,Minnesota Timberwolves,126,Box Score,Target Center
Thu Apr 29 2021,Toronto Raptors,111,Denver Nuggets,121,Box Score,Ball Arena
Thu Apr 29 2021,New Orleans Pelicans,109,Oklahoma City Thunder,95,Box Score,Chesapeake Energy Arena
Fri Apr 30 2021,Atlanta Hawks,104,Philadelphia 76ers,126,Box Score,Wells Fargo Center
Fri Apr 30 2021,San Antonio Spurs,140,Boston Celtics,143,Box Score,TD Garden
Fri Apr 30 2021,Washington Wizards,122,Cleveland Cavaliers,93,Box Score,Rocket Mortgage Fieldhouse
Fri Apr 30 2021,Portland Trail Blazers,128,Brooklyn Nets,109,Box Score,Barclays Center
Fri Apr 30 2021,Orlando Magic,75,Memphis Grizzlies,92,Box Score,FedEx Forum
Fri Apr 30 2021,Milwaukee Bucks,108,Chicago Bulls,98,Box Score,United Center
Fri Apr 30 2021,Utah Jazz,100,Phoenix Suns,121,Box Score,Phoenix Suns Arena
Fri Apr 30 2021,Sacramento Kings,110,Los Angeles Lakers,106,Box Score,STAPLES Center
Sat May 1 2021,Detroit Pistons,94,Charlotte Hornets,107,Box Score,Spectrum Center
Sat May 1 2021,Golden State Warriors,113,Houston Rockets,87,Box Score,Toyota Center
Sat May 1 2021,Chicago Bulls,97,Atlanta Hawks,108,Box Score,State Farm Arena
Sat May 1 2021,Miami Heat,124,Cleveland Cavaliers,107,Box Score,Rocket Mortgage Fieldhouse
Sat May 1 2021,New Orleans Pelicans,140,Minnesota Timberwolves,136,Box Score,Target Center
Sat May 1 2021,Indiana Pacers,152,Oklahoma City Thunder,95,Box Score,Chesapeake Energy Arena
Sat May 1 2021,Memphis Grizzlies,111,Orlando Magic,112,Box Score,Amway Center
Sat May 1 2021,Washington Wizards,124,Dallas Mavericks,125,Box Score,American Airlines Center
Sat May 1 2021,Denver Nuggets,110,Los Angeles Clippers,104,Box Score,STAPLES Center
Sat May 1 2021,Toronto Raptors,102,Utah Jazz,106,Box Score,Vivint Smart Home Arena
Sun May 2 2021,Brooklyn Nets,114,Milwaukee Bucks,117,Box Score,Fiserv Forum
Sun May 2 2021,Portland Trail Blazers,129,Boston Celtics,119,Box Score,TD Garden
Sun May 2 2021,Miami Heat,121,Charlotte Hornets,111,Box Score,Spectrum Center
Sun May 2 2021,Sacramento Kings,111,Dallas Mavericks,99,Box Score,American Airlines Center
Sun May 2 2021,New York Knicks,122,Houston Rockets,97,Box Score,Toyota Center
Sun May 2 2021,Phoenix Suns,123,Oklahoma City Thunder,120,Box Score,Chesapeake Energy Arena
Sun May 2 2021,Philadelphia 76ers,113,San Antonio Spurs,111,Box Score,AT&T Center
Sun May 2 2021,Toronto Raptors,121,Los Angeles Lakers,114,Box Score,STAPLES Center
Mon May 3 2021,Orlando Magic,119,Detroit Pistons,112,Box Score,Little Caesars Arena
Mon May 3 2021,Indiana Pacers,141,Washington Wizards,154,Box Score,Capital One Arena
Mon May 3 2021,Golden State Warriors,123,New Orleans Pelicans,108,Box Score,Smoothie King Center
Mon May 3 2021,Portland Trail Blazers,114,Atlanta Hawks,123,Box Score,State Farm Arena
Mon May 3 2021,Philadelphia 76ers,106,Chicago Bulls,94,Box Score,United Center
Mon May 3 2021,New York Knicks,118,Memphis Grizzlies,104,Box Score,FedEx Forum
Mon May 3 2021,Denver Nuggets,89,Los Angeles Lakers,93,Box Score,STAPLES Center
Mon May 3 2021,San Antonio Spurs,99,Utah Jazz,110,Box Score,Vivint Smart Home Arena
Tue May 4 2021,Phoenix Suns,134,Cleveland Cavaliers,118,Box Score,Rocket Mortgage Fieldhouse
Tue May 4 2021,Charlotte Hornets,102,Detroit Pistons,99,Box Score,Little Caesars Arena
Tue May 4 2021,Brooklyn Nets,118,Milwaukee Bucks,124,Box Score,Fiserv Forum
Tue May 4 2021,Dallas Mavericks,127,Miami Heat,113,Box Score,AmericanAirlines Arena
Tue May 4 2021,Golden State Warriors,103,New Orleans Pelicans,108,Box Score,Smoothie King Center
Tue May 4 2021,Sacramento Kings,103,Oklahoma City Thunder,99,Box Score,Chesapeake Energy Arena
Tue May 4 2021,Toronto Raptors,100,Los Angeles Clippers,105,Box Score,STAPLES Center
Wed May 5 2021,Boston Celtics,132,Orlando Magic,96,Box Score,Amway Center
Wed May 5 2021,Portland Trail Blazers,141,Cleveland Cavaliers,105,Box Score,Rocket Mortgage Fieldhouse
Wed May 5 2021,Phoenix Suns,103,Atlanta Hawks,135,Box Score,State Farm Arena
Wed May 5 2021,Philadelphia 76ers,135,Houston Rockets,115,Box Score,Toyota Center
Wed May 5 2021,Sacramento Kings,104,Indiana Pacers,93,Box Score,Bankers Life Fieldhouse
Wed May 5 2021,Washington Wizards,134,Milwaukee Bucks,135,Box Score,Fiserv Forum
Wed May 5 2021,Memphis Grizzlies,139,Minnesota Timberwolves,135,Box Score,Target Center
Wed May 5 2021,New York Knicks,97,Denver Nuggets,113,Box Score,Ball Arena
Wed May 5 2021,San Antonio Spurs,94,Utah Jazz,126,Box Score,Vivint Smart Home Arena
Thu May 6 2021,Chicago Bulls,120,Charlotte Hornets,99,Box Score,Spectrum Center
Thu May 6 2021,Brooklyn Nets,109,Dallas Mavericks,113,Box Score,American Airlines Center
Thu May 6 2021,Washington Wizards,131,Toronto Raptors,129,Box Score,Amalie Arena
Thu May 6 2021,Memphis Grizzlies,97,Detroit Pistons,111,Box Score,Little Caesars Arena
Thu May 6 2021,Atlanta Hawks,126,Indiana Pacers,133,Box Score,Bankers Life Fieldhouse
Thu May 6 2021,Oklahoma City Thunder,97,Golden State Warriors,118,Box Score,Chase Center
Thu May 6 2021,Los Angeles Lakers,94,Los Angeles Clippers,118,Box Score,STAPLES Center
Fri May 7 2021,New Orleans Pelicans,107,Philadelphia 76ers,109,Box Score,Wells Fargo Center
Fri May 7 2021,Boston Celtics,99,Chicago Bulls,121,Box Score,United Center
Fri May 7 2021,Orlando Magic,112,Charlotte Hornets,122,Box Score,Spectrum Center
Fri May 7 2021,Minnesota Timberwolves,112,Miami Heat,121,Box Score,AmericanAirlines Arena
Fri May 7 2021,Houston Rockets,133,Milwaukee Bucks,141,Box Score,Fiserv Forum
Fri May 7 2021,Cleveland Cavaliers,90,Dallas Mavericks,110,Box Score,American Airlines Center
Fri May 7 2021,Denver Nuggets,120,Utah Jazz,127,Box Score,Vivint Smart Home Arena
Fri May 7 2021,New York Knicks,105,Phoenix Suns,128,Box Score,Phoenix Suns Arena
Fri May 7 2021,Los Angeles Lakers,101,Portland Trail Blazers,106,Box Score,Moda Center
Fri May 7 2021,San Antonio Spurs,113,Sacramento Kings,104,Box Score,Golden 1 Center
Sat May 8 2021,Washington Wizards,133,Indiana Pacers,132,Box Score,Bankers Life Fieldhouse
Sat May 8 2021,Detroit Pistons,104,Philadelphia 76ers,118,Box Score,Wells Fargo Center
Sat May 8 2021,Memphis Grizzlies,109,Toronto Raptors,99,Box Score,Amalie Arena
Sat May 8 2021,Brooklyn Nets,125,Denver Nuggets,119,Box Score,Ball Arena
Sat May 8 2021,Oklahoma City Thunder,97,Golden State Warriors,136,Box Score,Chase Center
Sat May 8 2021,San Antonio Spurs,102,Portland Trail Blazers,124,Box Score,Moda Center
Sat May 8 2021,Houston Rockets,116,Utah Jazz,124,Box Score,Vivint Smart Home Arena
Sun May 9 2021,Miami Heat,130,Boston Celtics,124,Box Score,TD Garden
Sun May 9 2021,New York Knicks,106,Los Angeles Clippers,100,Box Score,STAPLES Center
Sun May 9 2021,New Orleans Pelicans,112,Charlotte Hornets,110,Box Score,Spectrum Center
Sun May 9 2021,Dallas Mavericks,124,Cleveland Cavaliers,97,Box Score,Rocket Mortgage Fieldhouse
Sun May 9 2021,Minnesota Timberwolves,128,Orlando Magic,96,Box Score,Amway Center
Sun May 9 2021,Chicago Bulls,108,Detroit Pistons,96,Box Score,Little Caesars Arena
Sun May 9 2021,Phoenix Suns,110,Los Angeles Lakers,123,Box Score,STAPLES Center
Sun May 9 2021,Oklahoma City Thunder,98,Sacramento Kings,126,Box Score,Golden 1 Center
Mon May 10 2021,Washington Wizards,124,Atlanta Hawks,125,Box Score,State Farm Arena
Mon May 10 2021,Indiana Pacers,111,Cleveland Cavaliers,102,Box Score,Rocket Mortgage Fieldhouse
Mon May 10 2021,New Orleans Pelicans,110,Memphis Grizzlies,115,Box Score,FedEx Forum
Mon May 10 2021,Milwaukee Bucks,125,San Antonio Spurs,146,Box Score,AT&T Center
Mon May 10 2021,Utah Jazz,116,Golden State Warriors,119,Box Score,Chase Center
Mon May 10 2021,Houston Rockets,129,Portland Trail Blazers,140,Box Score,Moda Center
Tue May 11 2021,Denver Nuggets,117,Charlotte Hornets,112,Box Score,Spectrum Center
Tue May 11 2021,Minnesota Timberwolves,119,Detroit Pistons,100,Box Score,Little Caesars Arena
Tue May 11 2021,Miami Heat,129,Boston Celtics,121,Box Score,TD Garden
Tue May 11 2021,Los Angeles Clippers,115,Toronto Raptors,96,Box Score,Amalie Arena
Tue May 11 2021,Brooklyn Nets,115,Chicago Bulls,107,Box Score,United Center
Tue May 11 2021,Philadelphia 76ers,94,Indiana Pacers,103,Box Score,Bankers Life Fieldhouse
Tue May 11 2021,Dallas Mavericks,104,Memphis Grizzlies,133,Box Score,FedEx Forum
Tue May 11 2021,Orlando Magic,102,Milwaukee Bucks,114,Box Score,Fiserv Forum
Tue May 11 2021,Phoenix Suns,116,Golden State Warriors,122,Box Score,Chase Center
Tue May 11 2021,New York Knicks,99,Los Angeles Lakers,101,Box Score,STAPLES Center
Tue May 11 2021,Oklahoma City Thunder,106,Sacramento Kings,122,Box Score,Golden 1 Center
Wed May 12 2021,Washington Wizards,116,Atlanta Hawks,120,Box Score,State Farm Arena
Wed May 12 2021,San Antonio Spurs,116,Brooklyn Nets,128,Box Score,Barclays Center
Wed May 12 2021,Boston Celtics,94,Cleveland Cavaliers,102,Box Score,Rocket Mortgage Fieldhouse
Wed May 12 2021,New Orleans Pelicans,107,Dallas Mavericks,125,Box Score,American Airlines Center
Wed May 12 2021,Portland Trail Blazers,105,Utah Jazz,98,Box Score,Vivint Smart Home Arena
Wed May 12 2021,Houston Rockets,122,Los Angeles Lakers,124,Box Score,STAPLES Center
Thu May 13 2021,Los Angeles Clippers,113,Charlotte Hornets,90,Box Score,Spectrum Center
Thu May 13 2021,Milwaukee Bucks,142,Indiana Pacers,133,Box Score,Bankers Life Fieldhouse
Thu May 13 2021,Orlando Magic,93,Atlanta Hawks,116,Box Score,State Farm Arena
Thu May 13 2021,Philadelphia 76ers,94,Miami Heat,106,Box Score,AmericanAirlines Arena
Thu May 13 2021,San Antonio Spurs,98,New York Knicks,102,Box Score,Madison Square Garden (IV)
Thu May 13 2021,Toronto Raptors,102,Chicago Bulls,114,Box Score,United Center
Thu May 13 2021,Sacramento Kings,110,Memphis Grizzlies,116,Box Score,FedEx Forum
Thu May 13 2021,Denver Nuggets,114,Minnesota Timberwolves,103,Box Score,Target Center
Thu May 13 2021,Portland Trail Blazers,117,Phoenix Suns,118,Box Score,Phoenix Suns Arena
Fri May 14 2021,Cleveland Cavaliers,105,Washington Wizards,120,Box Score,Capital One Arena
Fri May 14 2021,Denver Nuggets,104,Detroit Pistons,91,Box Score,Little Caesars Arena
Fri May 14 2021,Utah Jazz,109,Oklahoma City Thunder,93,Box Score,Chesapeake Energy Arena
Fri May 14 2021,Orlando Magic,97,Philadelphia 76ers,122,Box Score,Wells Fargo Center
Fri May 14 2021,Toronto Raptors,110,Dallas Mavericks,114,Box Score,American Airlines Center
Fri May 14 2021,Los Angeles Clippers,115,Houston Rockets,122,Box Score,Toyota Center
Fri May 14 2021,Sacramento Kings,106,Memphis Grizzlies,107,Box Score,FedEx Forum
Fri May 14 2021,New Orleans Pelicans,122,Golden State Warriors,125,Box Score,Chase Center
Sat May 15 2021,Chicago Bulls,91,Brooklyn Nets,105,Box Score,Barclays Center
Sat May 15 2021,Los Angeles Lakers,122,Indiana Pacers,115,Box Score,Bankers Life Fieldhouse
Sat May 15 2021,Charlotte Hornets,109,New York Knicks,118,Box Score,Madison Square Garden (IV)
Sat May 15 2021,Boston Celtics,124,Minnesota Timberwolves,108,Box Score,Target Center
Sat May 15 2021,Phoenix Suns,140,San Antonio Spurs,103,Box Score,AT&T Center
Sat May 15 2021,Miami Heat,108,Milwaukee Bucks,122,Box Score,Fiserv Forum
Sun May 16 2021,Boston Celtics,92,New York Knicks,96,Box Score,Madison Square Garden (IV)
Sun May 16 2021,Indiana Pacers,125,Toronto Raptors,113,Box Score,Amalie Arena
Sun May 16 2021,Charlotte Hornets,110,Washington Wizards,115,Box Score,Capital One Arena
Sun May 16 2021,Phoenix Suns,123,San Antonio Spurs,121,Box Score,AT&T Center
Sun May 16 2021,Memphis Grizzlies,101,Golden State Warriors,113,Box Score,Chase Center
Sun May 16 2021,Houston Rockets,95,Atlanta Hawks,124,Box Score,State Farm Arena
Sun May 16 2021,Cleveland Cavaliers,109,Brooklyn Nets,123,Box Score,Barclays Center
Sun May 16 2021,Orlando Magic,117,Philadelphia 76ers,128,Box Score,Wells Fargo Center
Sun May 16 2021,Miami Heat,120,Detroit Pistons,107,Box Score,Little Caesars Arena
Sun May 16 2021,Milwaukee Bucks,112,Chicago Bulls,118,Box Score,United Center
Sun May 16 2021,Dallas Mavericks,121,Minnesota Timberwolves,136,Box Score,Target Center
Sun May 16 2021,Los Angeles Lakers,110,New Orleans Pelicans,98,Box Score,Smoothie King Center
Sun May 16 2021,Los Angeles Clippers,112,Oklahoma City Thunder,117,Box Score,Chesapeake Energy Arena
Sun May 16 2021,Denver Nuggets,116,Portland Trail Blazers,132,Box Score,Moda Center
Sun May 16 2021,Utah Jazz,121,Sacramento Kings,99,Box Score,Golden 1 Center
Tue May 18 2021,Charlotte Hornets,117,Indiana Pacers,144,Box Score,Bankers Life Fieldhouse
Tue May 18 2021,Washington Wizards,100,Boston Celtics,118,Box Score,TD Garden
Wed May 19 2021,San Antonio Spurs,96,Memphis Grizzlies,100,Box Score,FedEx Forum
Wed May 19 2021,Golden State Warriors,100,Los Angeles Lakers,103,Box Score,STAPLES Center
Thu May 20 2021,Indiana Pacers,115,Washington Wizards,142,Box Score,Capital One Arena
Fri May 21 2021,Memphis Grizzlies,117,Golden State Warriors,112,Box Score,Chase Center
Sat May 22 2021,Miami Heat,107,Milwaukee Bucks,109,Box Score,Fiserv Forum
Sat May 22 2021,Dallas Mavericks,113,Los Angeles Clippers,103,Box Score,STAPLES Center
Sat May 22 2021,Boston Celtics,93,Brooklyn Nets,104,Box Score,Barclays Center
Sat May 22 2021,Portland Trail Blazers,123,Denver Nuggets,109,Box Score,Ball Arena
Sun May 23 2021,Washington Wizards,118,Philadelphia 76ers,125,Box Score,Wells Fargo Center
Sun May 23 2021,Los Angeles Lakers,90,Phoenix Suns,99,Box Score,Phoenix Suns Arena
Sun May 23 2021,Atlanta Hawks,107,New York Knicks,105,Box Score,Madison Square Garden (IV)
Sun May 23 2021,Memphis Grizzlies,112,Utah Jazz,109,Box Score,Vivint Smart Home Arena
Mon May 24 2021,Miami Heat,98,Milwaukee Bucks,132,Box Score,Fiserv Forum
Mon May 24 2021,Portland Trail Blazers,109,Denver Nuggets,128,Box Score,Ball Arena
Tue May 25 2021,Boston Celtics,108,Brooklyn Nets,130,Box Score,Barclays Center
Tue May 25 2021,Los Angeles Lakers,109,Phoenix Suns,102,Box Score,Phoenix Suns Arena
Tue May 25 2021,Dallas Mavericks,127,Los Angeles Clippers,121,Box Score,STAPLES Center
Wed May 26 2021,Washington Wizards,95,Philadelphia 76ers,120,Box Score,Wells Fargo Center
Wed May 26 2021,Atlanta Hawks,92,New York Knicks,101,Box Score,Madison Square Garden (IV)
Wed May 26 2021,Memphis Grizzlies,129,Utah Jazz,141,Box Score,Vivint Smart Home Arena
Thu May 27 2021,Milwaukee Bucks,113,Miami Heat,84,Box Score,AmericanAirlines Arena
Thu May 27 2021,Phoenix Suns,95,Los Angeles Lakers,109,Box Score,STAPLES Center
Thu May 27 2021,Denver Nuggets,120,Portland Trail Blazers,115,Box Score,Moda Center
Fri May 28 2021,New York Knicks,94,Atlanta Hawks,105,Box Score,State Farm Arena
Fri May 28 2021,Brooklyn Nets,119,Boston Celtics,125,Box Score,TD Garden
Fri May 28 2021,Los Angeles Clippers,118,Dallas Mavericks,108,Box Score,American Airlines Center
Sat May 29 2021,Milwaukee Bucks,120,Miami Heat,103,Box Score,AmericanAirlines Arena
Sat May 29 2021,Denver Nuggets,95,Portland Trail Blazers,115,Box Score,Moda Center
Sat May 29 2021,Philadelphia 76ers,132,Washington Wizards,103,Box Score,Capital One Arena
Sat May 29 2021,Utah Jazz,121,Memphis Grizzlies,111,Box Score,FedEx Forum
Sun May 30 2021,New York Knicks,96,Atlanta Hawks,113,Box Score,State Farm Arena
Sun May 30 2021,Phoenix Suns,100,Los Angeles Lakers,92,Box Score,STAPLES Center
Sun May 30 2021,Brooklyn Nets,141,Boston Celtics,126,Box Score,TD Garden
Sun May 30 2021,Los Angeles Clippers,106,Dallas Mavericks,81,Box Score,American Airlines Center
Mon May 31 2021,Philadelphia 76ers,114,Washington Wizards,122,Box Score,Capital One Arena
Mon May 31 2021,Utah Jazz,120,Memphis Grizzlies,113,Box Score,FedEx Forum
Tue Jun 1 2021,Boston Celtics,109,Brooklyn Nets,123,Box Score,Barclays Center
Tue Jun 1 2021,Portland Trail Blazers,140,Denver Nuggets,147,Box Score,Ball Arena
Tue Jun 1 2021,Los Angeles Lakers,85,Phoenix Suns,115,Box Score,Phoenix Suns Arena
Wed Jun 2 2021,Washington Wizards,112,Philadelphia 76ers,129,Box Score,Wells Fargo Center
Wed Jun 2 2021,Atlanta Hawks,103,New York Knicks,89,Box Score,Madison Square Garden (IV)
Wed Jun 2 2021,Memphis Grizzlies,110,Utah Jazz,126,Box Score,Vivint Smart Home Arena
Wed Jun 2 2021,Dallas Mavericks,105,Los Angeles Clippers,100,Box Score,STAPLES Center
Thu Jun 3 2021,Denver Nuggets,126,Portland Trail Blazers,115,Box Score,Moda Center
Thu Jun 3 2021,Phoenix Suns,113,Los Angeles Lakers,100,Box Score,STAPLES Center
Fri Jun 4 2021,Los Angeles Clippers,104,Dallas Mavericks,97,Box Score,American Airlines Center
Sat Jun 5 2021,Milwaukee Bucks,107,Brooklyn Nets,115,Box Score,Barclays Center
Sun Jun 6 2021,Atlanta Hawks,128,Philadelphia 76ers,124,Box Score,Wells Fargo Center
Sun Jun 6 2021,Dallas Mavericks,111,Los Angeles Clippers,126,Box Score,STAPLES Center
Mon Jun 7 2021,Milwaukee Bucks,86,Brooklyn Nets,125,Box Score,Barclays Center
Mon Jun 7 2021,Denver Nuggets,105,Phoenix Suns,122,Box Score,Phoenix Suns Arena
Tue Jun 8 2021,Atlanta Hawks,102,Philadelphia 76ers,118,Box Score,Wells Fargo Center
Tue Jun 8 2021,Los Angeles Clippers,109,Utah Jazz,112,Box Score,Vivint Smart Home Arena
Wed Jun 9 2021,Denver Nuggets,98,Phoenix Suns,123,Box Score,Phoenix Suns Arena
Thu Jun 10 2021,Brooklyn Nets,83,Milwaukee Bucks,86,Box Score,Fiserv Forum
Thu Jun 10 2021,Los Angeles Clippers,111,Utah Jazz,117,Box Score,Vivint Smart Home Arena
Fri Jun 11 2021,Philadelphia 76ers,127,Atlanta Hawks,111,Box Score,State Farm Arena
Fri Jun 11 2021,Phoenix Suns,116,Denver Nuggets,102,Box Score,Ball Arena
Sat Jun 12 2021,Utah Jazz,106,Los Angeles Clippers,132,Box Score,STAPLES Center
Sun Jun 13 2021,Brooklyn Nets,96,Milwaukee Bucks,107,Box Score,Fiserv Forum
Sun Jun 13 2021,Phoenix Suns,125,Denver Nuggets,118,Box Score,Ball Arena
Mon Jun 14 2021,Philadelphia 76ers,100,Atlanta Hawks,103,Box Score,State Farm Arena
Mon Jun 14 2021,Utah Jazz,104,Los Angeles Clippers,118,Box Score,STAPLES Center
Tue Jun 15 2021,Milwaukee Bucks,108,Brooklyn Nets,114,Box Score,Barclays Center
Wed Jun 16 2021,Atlanta Hawks,109,Philadelphia 76ers,106,Box Score,Wells Fargo Center
